Coord,ERA-I,HIRHAM (EAS),HadRM3P (EAS),RegCM4-1 (WAS),RegCM4-4 (WAS),HadRM3P (WAS),RCA4 (WAS),CCLM (EAS),Var,Season,TScale
10.25_104.75,0.6531760000000001,1.485e-13,0.0136425,0.859275,0.908755,0.0037938499999999997,0.0,23.533994149999998,preci,All,Day
10.25_105.25,0.3821619999999995,1.3976e-13,0.0006231800000000001,0.07967650000000001,0.2141,0.0002722,0.41119499999999987,18.044510000000002,preci,All,Day
10.25_105.75,0.18615974999999998,-0.0333416999999283,1.2760999999999999e-05,0.140325,0.045090000000000005,6.4377e-07,0.46552781,12.6756753,preci,All,Day
10.25_106.25,0.2909050000000001,-0.0364279999999346,5.7407e-07,0.256865,0.045381000000000005,7.3414e-12,0.09449199999999999,12.809415000000001,preci,All,Day
10.25_106.75,0.2957255,1.393e-13,-0.011626300000000003,0.19164,0.05692495,0.0,0.0,17.653554999999997,preci,All,Day
10.75_104.75,0.945565,-0.021385149999923476,0.01578,0.21686895,0.7087220700000001,0.00981515,0.033941499999999875,11.60118,preci,All,Day
10.75_105.25,0.5211964999999998,1.2821999999999998e-13,0.0059140500000000006,0.1095265,0.10102,0.00740515,1.1271,8.785777,preci,All,Day
10.75_105.75,0.09724800000000006,1.2676e-13,0.000219305,0.000125415,0.062093499999999996,1.437e-06,0.739975,10.843895,preci,All,Day
11.25_104.25,1.2813800000000002,1.3462e-13,0.009133199999999873,0.45617930000000007,0.060745499999999994,0.020143,0.00131595,6.029525,preci,All,Day
11.25_104.75,0.788825,-0.0018939149998745053,0.0018803499999999998,0.2560300000000001,0.08561665,0.01007515,0.24022685000000002,3.50669,preci,All,Day
11.25_105.25,0.47719,1.33265e-13,0.0066910500000000005,0.3056500000000001,0.0866795,0.010301999999999999,1.444099845,2.9943049999999998,preci,All,Day
11.75_104.25,1.02723,1.39145e-13,4.0057499999999997e-07,0.6848475999999999,0.061393,6.9401e-05,0.13402807,0.8127250000000001,preci,All,Day
11.75_104.75,0.5808379499999999,1.31675e-13,8.7519e-05,0.19079000000000002,0.0877165,0.00085302,0.5029299999999997,0.132765,preci,All,Day
11.75_105.25,0.382895,1.3734e-13,0.0056104,0.382475,0.09712,0.0178635,1.629715,0.35829999999999995,preci,All,Day
12.25_103.25,1.1322474500000004,0.327962,0.00229875,0.8646700000000015,0.0239455,0.07742550000000001,1.0158099999999999,12.014289200000002,preci,All,Day
12.25_103.75,1.0296349999999999,0.0063102,0.0,0.57464,0.036414,0.0,0.037590799,2.3304750000000003,preci,All,Day
12.25_104.25,0.2260609775,1.34805e-13,1.68645e-05,0.40854900000000016,0.0534935,0.0026002,0.4953750000000001,0.0,preci,All,Day
12.25_104.75,0.1266549999999999,1.33555e-13,0.00044779,0.045505500000000004,0.06931049999999989,0.0043024,0.469075,0.0,preci,All,Day
12.25_105.25,0.08230449999999984,1.3879e-13,0.0015565,0.5283500000000001,0.067573,0.0036629,1.380465,8.767700000000001e-05,preci,All,Day
12.25_105.75,0.0735915,1.3771e-13,0.00041670499999999996,1.0207435,0.0540705,0.0020875,1.48745,0.79874595,preci,All,Day
12.25_106.25,0.07393949999999999,1.3214e-13,0.00088474,1.0172499999999998,0.0533015,0.00329065,0.782385,4.9483999999999995,preci,All,Day
12.25_106.75,0.0066051,-0.006052949999857915,5.0883e-07,1.391613,0.01246655,2.90185e-07,0.072331165,6.078128850000001,preci,All,Day
12.25_107.25,0.0009124249999999999,1.45485e-13,0.00413015,0.9539000000000001,-0.06882555000000001,6.538449999999999e-05,0.973754,8.939454999999999,preci,All,Day
12.25_107.75,0.09060468,0.19972499999999996,-0.011077109509999999,1.3193,-0.08063875000000004,-0.021250151000000002,0.006449399999999713,13.410899999999998,preci,All,Day
12.25_108.25,0.2297801000000001,1.2493501500000002,-0.018071399999999998,2.232585,-0.0628695,-0.058377899999999996,1.3515260000000002,2.3899804499999995,preci,All,Day
12.75_102.75,1.41669,1.3686e-13,0.0417085,0.36021349999999996,0.027711,0.2501000000000003,0.0,10.333219999999999,preci,All,Day
12.75_103.25,0.925125,1.3506e-13,3.54455e-07,0.317088,0.0820635,3.58875e-07,0.0,4.4957305000000005,preci,All,Day
12.75_103.75,0.4534735,1.2951e-13,0.0,0.07555200000000001,0.07808999999999999,0.0,0.0,0.8003860000000004,preci,All,Day
12.75_104.25,0.099112,1.32675e-13,8.964699999999999e-06,0.043495200000000005,0.204485,0.000125375,0.0,0.12290165,preci,All,Day
12.75_104.75,0.17551095,1.33925e-13,0.0006539250000000001,0.060687,0.0529005,0.0034440499999999997,0.20896499999999996,0.21007499999999996,preci,All,Day
12.75_105.25,0.15068,1.3857e-13,0.00043511,0.8826799999999999,0.01884085,0.003658999999999241,1.1820349999999993,0.3020335,preci,All,Day
12.75_105.75,0.06794259999999999,1.39035e-13,0.00027822,1.4102,0.0222175,0.0008184800000000001,0.7726705,1.17346,preci,All,Day
12.75_106.25,0.0271415,1.2873e-13,6.8134e-05,0.44776799999999994,0.033931,3.7125e-05,0.065654,2.66512435,preci,All,Day
12.75_106.75,0.0071185,-0.025661549999863198,3.06695e-06,0.67314915,0.012979000000000001,3.0922e-05,0.0,4.012585,preci,All,Day
12.75_107.25,0.0012838100000000002,-0.13913149999986524,0.0,0.6033972500000002,-0.025039399999999996,4.00895e-06,0.0,4.501817999999999,preci,All,Day
12.75_107.75,0.08749756,-0.3377354999999999,-0.025834095,0.7641550000000001,-0.04349245,-0.007708665,-0.031044649999999476,9.0499875,preci,All,Day
12.75_108.25,0.2260737,-0.015914400000000002,-0.06395150000000012,1.071875,-0.05972750000000002,0.0018857649999999998,0.4140634999999999,4.483242000000001,preci,All,Day
13.25_102.75,1.182662,1.3248500000000002e-13,6.67915e-05,0.0133335,0.0641355,2.2774e-06,0.0,4.0576555,preci,All,Day
13.25_103.25,0.670865,1.3073e-13,9.83665e-05,0.00568955,0.0841035,0.00115205,0.0,2.0526118,preci,All,Day
13.25_103.75,0.34477500000000005,1.4343e-13,0.003765545,0.0043261,0.129798,0.0254065,0.0,0.96552328,preci,All,Day
13.25_104.25,0.18335450000000003,1.4567499999999998e-13,0.024592000000000065,0.0389255,0.110915,0.10052150000000003,0.364785,1.2699099999999999,preci,All,Day
13.25_104.75,0.3364000000000001,1.37815e-13,0.010297125,0.30461000000000005,0.023952150000000002,0.06828999999999999,0.396435,1.7285434999999998,preci,All,Day
13.25_105.25,0.20720000000000005,1.3971000000000002e-13,0.00029982,0.939805,0.005515900000000001,0.0049532,1.0532605,1.10685602,preci,All,Day
13.25_105.75,0.048422,1.3989e-13,6.56175e-05,1.5855000000000001,0.00667745,0.000186465,0.643805,0.81380265,preci,All,Day
13.25_106.25,0.012659695,1.30825e-13,5.5368e-05,0.5597149499999996,0.0105375,0.000496865,0.10185499999999995,1.24079345,preci,All,Day
13.25_106.75,0.0043848,-0.01828564999992638,2.8582e-05,0.0320067,0.00262655,5.2258e-06,0.0,1.2814975,preci,All,Day
13.25_107.25,0.0028320999999999997,-0.231394999999873,0.0,0.030300500000000015,-0.006216589999999999,0.0,-0.01441328,2.3457255,preci,All,Day
13.25_107.75,0.09359700000000001,-0.23733049999993827,-0.0038505299984513503,0.12015,-0.007964028494,-0.0135963,-0.06920375000000001,3.45631,preci,All,Day
13.25_108.25,0.0854955,-0.20318894999999987,5.6435499999999995e-06,0.178346,-0.0982905,0.000500475,-0.0122445,2.80265,preci,All,Day
