Coord,Var,Season,TScale,ERA-I,HIRHAM (EAS),HadRM3P (EAS),RegCM4-1 (WAS),RegCM4-4 (WAS),HadRM3P (WAS),RCA4 (WAS),CCLM (EAS)
10.25_104.75,preci,All,Day,1.6395304624208906,0.0616376762909145,1.593310874178868,10.438547552795429,5.011306345506696,1.6943416825097977,0.5651318382464862,115.63086721054796
10.25_105.25,preci,All,Day,1.335631324577733,0.143507294001508,0.7492004125646621,9.732926150246472,1.5980471547114714,0.7159411951076515,2.4655613259023426,105.36089973339712
10.25_105.75,preci,All,Day,1.3057947549791495,0.8285849721750527,0.2737159637718714,8.068114217959453,0.7516486302833099,0.1101855199896565,2.5004243483846977,95.4652431107254
10.25_106.25,preci,All,Day,1.450257055353661,0.8237247020547263,0.3996917344998087,7.233584891968703,0.9180296682200632,0.344474725928541,1.7388246331323396,96.96467086791245
10.25_106.75,preci,All,Day,1.4648960702584963,0.4983823283301755,1.0723706273567022,8.12671331569162,0.4964609323571322,0.0846249282892543,0.6576934723033769,115.22911542122796
10.75_104.75,preci,All,Day,2.224287149503392,0.6109861989600877,1.4019703236886347,11.555187642107503,4.178771195407575,1.537786188497041,1.520403408869349,86.39113603091734
10.75_105.25,preci,All,Day,1.7047504669440867,0.1813399708642774,1.127142385065502,8.918872658867079,1.902670468770301,1.212455109948071,3.3552618824396108,83.04500870992499
10.75_105.75,preci,All,Day,1.192604746201859,0.3087662214496168,0.4723553573196745,6.9463090896939335,1.2432351662781496,0.5076129268366796,3.0897131984210526,89.99359078114948
11.25_104.25,preci,All,Day,2.4203910862103504,0.1223524129796424,1.0416364779919285,11.567676462844002,2.788668806523749,1.411488899347664,1.466847404490356,73.63838974857016
11.25_104.75,preci,All,Day,2.045568624090916,0.615855066695426,0.7831187285400201,8.492261731606959,2.8670263487737357,1.197906523149586,2.3462681780672345,63.38848863539216
11.25_105.25,preci,All,Day,1.8181281218549965,0.3248546795695845,1.3671997064551022,7.216061072478533,2.834938738747343,1.3508027400527636,4.070007906288439,68.2300200717668
11.75_104.25,preci,All,Day,2.265829079049875,0.2447967135840992,0.3195687194877576,8.87324037408281,3.349525209776749,0.0424103052709116,2.686207134375555,55.49353275703824
11.75_104.75,preci,All,Day,1.8427594545115595,0.2630468257190272,0.346075053983201,5.863274970251947,3.3977629697266525,0.5668452772737075,2.7409271689036965,49.74869969029651
11.75_105.25,preci,All,Day,1.7984716818029476,0.7938914510199009,1.3197396141045294,6.479863753769361,3.315940534047013,1.380063528254421,4.517995158986706,61.121673660250615
12.25_103.25,preci,All,Day,1.9360928978583816,4.479267918450892,0.8106938008957937,17.434757557395624,1.7307981095435994,1.922191754435536,5.34613345009066,108.28334879149811
12.25_103.75,preci,All,Day,2.104610297499117,1.4951907959464237,0.3857504333644114,11.058164428610093,2.410391910694426,0.2897917426436578,2.5916680437376938,68.14904337066888
12.25_104.25,preci,All,Day,1.4906617545322385,0.1718885324042805,0.5615133867568429,6.681963934666183,2.3942152883134526,0.8983750363674592,3.898554279714861,53.19872610263693
12.25_104.75,preci,All,Day,1.327452964963076,0.022774782422005,0.7216826004444576,4.706528327139618,2.472966905158766,0.994355860129457,3.064462791711591,55.21259291705958
12.25_105.25,preci,All,Day,1.4397260588624048,1.1706082589588327,1.505483553998064,6.382825402544095,2.6628354979213165,1.2835430828421055,4.364080021914375,71.87168739426329
12.25_105.75,preci,All,Day,1.6687986725616146,0.7124204289534876,1.3601296081053271,7.882211614504291,2.868679409625122,1.3371934940678551,4.657128575828567,98.9515527962932
12.25_106.25,preci,All,Day,1.66964772636326,0.1221138135769767,1.5854639834483073,7.315533398742336,3.033927028240338,1.7746340878473434,3.948010996834469,142.3780100241382
12.25_106.75,preci,All,Day,1.160848806132217,0.0341393946023374,1.1617795449436683,7.438940650920312,2.434503744616404,0.4443449131131622,2.5164429906562216,207.4488108474637
12.25_107.25,preci,All,Day,0.1471264164379011,4.0330317645303,3.7549291442873542,6.687554393672672,0.8971078186453695,1.5523231073814583,6.132986010643748,258.5752084967757
12.25_107.75,preci,All,Day,0.395620970786118,3.096141329475276,0.7020768910461153,5.443305976410033,0.2092694746453696,1.0732117687406375,0.0853284540247033,171.90252577500345
12.25_108.25,preci,All,Day,0.2423263131588157,6.994497348001524,1.180317651075952,6.888601502701072,0.6873026536776726,1.616481371320841,3.341550004024034,105.33937707984116
12.75_102.75,preci,All,Day,2.4108535945896272,0.5090283992272979,1.5861191520402351,16.257056666049174,1.7460605919318872,2.4118897305822733,1.7360941936591117,102.79806118236166
12.75_103.25,preci,All,Day,1.9602341241108177,0.2868775490142422,0.1344784292266364,10.200236403176792,2.050889243752095,0.4349543621051861,0.0256757595391086,72.47582208105467
12.75_103.75,preci,All,Day,1.5550317751811784,1.1219077488016136,0.3205582600036497,5.871276233244759,1.7185450670686953,0.1948232333177765,0.1099552664097961,57.892164702277135
12.75_104.25,preci,All,Day,1.2777472788782192,0.6676464365359619,0.4388964207007013,4.881168327129704,2.7014756720212048,0.4829184231540696,1.1789367959556434,57.97650621270735
12.75_104.75,preci,All,Day,1.441900705088271,0.2626318155497418,1.1364642511996446,4.666411031353961,1.4760491108470986,0.9576966892954558,2.246530051487025,71.2574765321137
12.75_105.25,preci,All,Day,1.5635975256885917,0.6408564023204854,1.2836471927628743,7.180191438897468,1.947839981568352,1.363069046606965,4.186624542366078,87.77810255169936
12.75_105.75,preci,All,Day,1.7106259633013998,0.693769630824467,1.4356076499260926,8.102877473995706,2.2906384353873905,1.2331594228306642,3.756376522205628,105.06020288026195
12.75_106.25,preci,All,Day,1.4528321732382736,0.5152319232931251,1.264993008094106,5.280165713509185,2.4218223326550805,1.0870764907844612,2.742314332039961,128.743684393904
12.75_106.75,preci,All,Day,0.9109767369484284,0.5278796822772617,1.6168856595170298,5.581787947973418,1.9345232338556344,1.4851660578458443,2.373007285966383,157.2126207002224
12.75_107.25,preci,All,Day,0.2336350142819918,1.0992074945143526,0.4712062451453949,5.362806949041059,0.6445992920823951,1.3782566316742275,1.4778730423490114,171.43155251130077
12.75_107.75,preci,All,Day,0.3159655991387222,2.0726671051331045,1.0878562733616306,4.325234332456143,0.1463281719237041,0.6597278313994414,1.5575003679259354,134.0264227457856
12.75_108.25,preci,All,Day,0.1169442360297271,0.2828937757121954,1.5759194370534817,4.255136725404599,0.5049095523984461,0.2737851518185749,1.1855518794155766,89.90236669594154
13.25_102.75,preci,All,Day,2.3451171752588,0.1028512794673715,0.4814081819625401,8.580388903749302,1.6370509457792282,0.138950738533769,0.1330724532905689,79.31388312748726
13.25_103.25,preci,All,Day,1.8315957765727893,0.339924033227513,0.599178601571017,4.995279294843532,1.4982511122622533,0.9072561519932134,1.14361193701582,69.2478223532524
13.25_103.75,preci,All,Day,1.4491890188556242,0.177457993997001,1.2946658411838552,4.132912793610795,1.9022377692048371,1.2933701108272064,2.024559747891101,69.32416819891472
13.25_104.25,preci,All,Day,1.473980839064111,0.4296164332727676,1.8015343201900984,4.752945527557739,1.4633630992144966,1.7913941101646904,3.2228802379882877,83.060601494259
13.25_104.75,preci,All,Day,1.759884246198634,0.3858420601945976,1.855835897032397,5.9388308252222926,1.2172648849707253,1.845636027418226,2.9316418174656222,99.1507894279106
13.25_105.25,preci,All,Day,1.710464338452608,0.569438181947072,1.270713359891174,6.9366259446149545,1.4712160660601488,1.4498221437059988,4.054083303863067,105.3735638761988
13.25_105.75,preci,All,Day,1.5423110852014998,0.8404977462027161,1.3355740450661815,7.609562340670903,1.5057543136669431,0.9857583998360948,3.700350137348099,107.52248035856364
13.25_106.25,preci,All,Day,1.2375415273671186,0.214848149055173,1.770691030725562,5.637454867670136,1.476296059484155,1.7998995698200888,3.2496644227523577,120.48346242342996
13.25_106.75,preci,All,Day,0.6530632445190534,0.5484903884433714,1.334658293747656,4.078936696123932,0.9061416487586964,1.7627714360152082,1.9849046158310009,142.43601195373944
13.25_107.25,preci,All,Day,0.1568163241733751,2.2566964510833163,0.332007295599782,3.3492546662651788,0.1617803498898426,0.1519528590041198,1.2494523858293276,155.54964772137825
13.25_107.75,preci,All,Day,0.2909103148738134,2.3814726375772635,0.905168397524856,3.2666798429589097,0.677734565999368,1.223486722242462,1.8292574667315484,124.30039700765305
13.25_108.25,preci,All,Day,0.0193519743741302,1.1381910062298457,0.1842937769480962,3.9039891140239433,0.4451136508072371,0.5683983700180013,0.6312720116907257,87.23704008695121
13.75_102.75,preci,All,Day,1.6672833843589527,0.6244635340457368,0.6643085221808992,4.450987974457933,1.358553610269399,0.5361000508863666,0.6741366154370246,85.86304781187826
13.75_103.25,preci,All,Day,2.053411387376089,0.0133484330958055,1.3148761634205994,3.8949422769660886,1.4746641982678768,1.1898302578707758,1.605145749348266,86.89692691663272
13.75_103.75,preci,All,Day,1.8912084015642,0.3395058571947543,1.5809749425146176,4.945364742098783,1.3905238201333587,1.398044837738146,2.6164366199145115,97.64804008412608
13.75_104.25,preci,All,Day,1.9042951538213428,0.2371825614717215,1.6418689693145392,5.244351592108605,1.0566303169329,1.5453133624802369,3.263785688837055,109.95037394242446
13.75_104.75,preci,All,Day,1.8868691462758305,0.2052743934173584,1.445805636200966,4.299973242013126,0.9445062216917082,1.2799623228506012,1.872302356095832,113.94766412825427
13.75_105.25,preci,All,Day,1.7070259052010974,0.3519929868405457,0.8212732620723531,4.626213509914993,0.9448683377441188,0.8918320876219566,2.9272288944873743,113.44488392705588
13.75_105.75,preci,All,Day,1.3799537746929291,0.2392032956920121,1.165370070602275,5.301531845792943,0.919474263162172,1.2177513936734048,2.2879575500911167,118.3755997630784
13.75_106.25,preci,All,Day,1.1516244459330196,0.2457518125268792,1.7219621343967504,4.761478026743056,0.855530310816769,1.0999904985912716,2.061100911330697,140.79841376175006
13.75_106.75,preci,All,Day,0.5254949938486168,0.7337387749167505,0.6369035897964263,3.947610632330812,0.1289589018769217,0.7578995888102699,2.1417383394047764,182.42064554433017
13.75_107.25,preci,All,Day,0.0061168414701787,1.6107230069298324,0.6448963707050677,3.5613019931522727,0.7213911664550811,0.1498389986027511,0.5612400375352905,213.47341354903023
13.75_107.75,preci,All,Day,0.4814730408472547,1.6435877974613715,0.3319601298659047,2.430762422427735,1.3201328825006236,0.1377070859633804,0.4661922921339671,161.11401765690127
14.25_102.25,preci,All,Day,2.264514670439434,4.106426179156642,1.673085761877667,6.709356302532333,1.157181953085275,1.0147315754328434,3.849165609415774,92.59538040980851
14.25_102.75,preci,All,Day,1.912023431026268,2.066953844309839,0.8840867797630958,5.831880002706716,1.1160814479760834,0.9855892743572904,2.728202455958716,85.64722226446526
14.25_103.25,preci,All,Day,1.8032155539239425,0.5380247020318386,0.8459517774180222,4.341435805340035,1.0122520881794337,0.7392292822501088,1.982962172445543,90.32189038954296
14.25_103.75,preci,All,Day,1.6514156535744038,0.630807651756709,1.1314622790828042,4.460730627001546,0.8681672177995311,1.0807950126397448,3.356571333589641,99.52102402537146
14.25_104.25,preci,All,Day,1.7428145456933075,1.3281006972652247,1.710509537530309,5.064802597238365,0.8156240821095765,1.6375747001838363,5.305887343372573,104.91319844729269
14.25_104.75,preci,All,Day,1.415844325781173,0.1764800408116381,0.5344765333949155,3.357647677236045,0.4272577563870067,0.363098538633624,2.565085087353666,106.06409099985156
14.25_105.25,preci,All,Day,1.1343053769482958,1.1215347365213366,1.5626929335065878,3.615473111827317,0.1398462859937662,1.0414137771027163,5.436407794508823,114.7651999447872
14.25_105.75,preci,All,Day,0.9757276156860716,1.4127332498470786,0.4788897045633631,2.246617663188752,0.0757653774305879,0.5911654067331802,0.2612190337823243,144.34117454429634
14.25_106.25,preci,All,Day,0.7110722445883622,0.8227914340155453,0.537279072212727,2.574676532486016,0.1662757633523271,0.8528135717609389,1.2090694770218284,190.17075067285737
14.25_106.75,preci,All,Day,0.073184350112883,0.581540162681461,1.0141376986221933,2.4218654732578133,0.7926868418370121,1.0925137219626593,2.368990252697262,237.84516725951656
14.25_107.25,preci,All,Day,0.4122155385704663,0.9701601404002366,0.6602046024837009,1.95446269508326,1.3430286276237555,0.7197388352108706,1.1219446073332218,232.82444621504243
14.25_107.75,preci,All,Day,0.1688573663992289,0.324326296822704,0.9863913869651674,2.1346962272824297,1.1471790536996422,1.1511696297553171,0.2432220862051414,141.39035170508487
14.25_108.25,preci,All,Day,0.6768537648596308,3.785294697134842,0.6350097000383856,4.189084496721527,0.1099833760646744,0.6294958214935887,2.246847382078552,89.39416599576462
14.75_101.75,preci,All,Day,2.6298285239295747,2.0643938136930364,0.678224869242761,4.203000345923765,1.462325200358637,0.8450036479296208,2.5424139409123363,97.53170101029232
14.75_102.25,preci,All,Day,2.2219061141068424,0.3051580222897369,0.3185612894726392,3.2838329639093287,1.0902790974874466,0.0166688800402104,0.2866435798929114,77.24715525503069
