Coord,APHRO,ERA-I,HIRHAM (EAS),HadRM3P (EAS),RegCM4-1 (WAS),RegCM4-4 (WAS),HadRM3P (WAS),RCA4 (WAS),CCLM (EAS),Var,Season,TScale
10.25_104.75,0.9999999999999999,0.5197131503327768,0.1877653117767669,0.3253881347362088,0.22228877820451648,0.22894393670207644,0.4297717114650012,0.22006476318633947,0.1137261168417733,preci,All,Day
10.25_105.25,1.0,0.4925692302714387,0.19247040596434317,0.3282720453805145,0.18318406145053448,0.19100928643440576,0.4061184989580446,0.2660204386669277,0.11221486616251988,preci,All,Day
10.25_105.75,0.9999999999999999,0.4723877575507873,0.1821016548301243,0.3264371410351153,0.18759461220836088,0.19431055029337585,0.41941387463627455,0.30691655033877935,0.12359142886150055,preci,All,Day
10.25_106.25,1.0,0.4974845897404031,0.17584624727095569,0.3279249569732212,0.17445195240450173,0.2080226512851373,0.44649367905494075,0.35284284624207407,0.10946838147402836,preci,All,Day
10.25_106.75,1.0,0.4970090930622355,0.22790977255268652,0.2279690004972056,0.12381346652934136,0.19902035363699497,0.4546400604366758,0.3699622024822575,0.11882472501540793,preci,All,Day
10.75_104.75,0.9999999999999998,0.4241562769647082,0.15948394121727325,0.27645724650323256,0.17400506745137365,0.15704225741689376,0.35363951849625497,0.17518454538131426,0.07868446803889385,preci,All,Day
10.75_105.25,1.0,0.41940814703749446,0.1749734790610328,0.2616166669852707,0.13844882515977353,0.12951738036823365,0.33629596836458814,0.26109045603668146,0.0873555067836935,preci,All,Day
10.75_105.75,1.0,0.4594164051346933,0.200439290764869,0.2891227845311266,0.16124317643895378,0.15946076248843846,0.3665535538019071,0.28681401272285345,0.12439311588762905,preci,All,Day
11.25_104.25,1.0,0.4009418708568123,0.19661993147786305,0.23590213001373922,0.19900466375998846,0.1439018173655192,0.37448578895811135,0.10710413584667278,0.0804797545849627,preci,All,Day
11.25_104.75,0.9999999999999998,0.3957221250645985,0.18183254768983365,0.22123735575782838,0.16326511841172678,0.1415352801067139,0.3575296949621522,0.23898458974628706,0.06794446095775045,preci,All,Day
11.25_105.25,1.0,0.4259624666185845,0.19235036587531776,0.22000427626665195,0.1819801845765631,0.15544531843392495,0.37238954415229364,0.3073390045540587,0.08707288793664715,preci,All,Day
11.75_104.25,0.9999999999999998,0.40916218258806414,0.2151204908300624,0.20380684316337128,0.22197810850622757,0.1653173600398612,0.38278846678330053,0.14982911305944271,0.07056666484671037,preci,All,Day
11.75_104.75,0.9999999999999998,0.4076780387546909,0.1858532234385486,0.1986090850194755,0.20331213178911783,0.1545559350357975,0.3666233052675865,0.2755102192335182,0.06351586436434632,preci,All,Day
11.75_105.25,1.0,0.4208176192807508,0.20302006647016038,0.21172362469056485,0.2062260296290564,0.17574847813809996,0.38889111861307774,0.31840357887159704,0.10231131939490862,preci,All,Day
12.25_103.25,0.9999999999999999,0.4275824504884317,0.2757520624545501,0.26337569860752896,0.24242278663803268,0.20647311933793533,0.4332409381759795,0.18348005194628408,0.1339022839015351,preci,All,Day
12.25_103.75,1.0,0.38833121791697256,0.2199038536050853,0.1997572890364433,0.19442514960740864,0.17529620594977,0.34563409950639934,0.16922561372110506,0.07412761611934063,preci,All,Day
12.25_104.25,1.0,0.3789153390155646,0.20368111672225103,0.22332870341828606,0.25607645045729094,0.17847639443557664,0.3939180349903881,0.2331866783345068,0.06461023223636796,preci,All,Day
12.25_104.75,1.0,0.39432744950923293,0.20567172407994114,0.22513809936600102,0.24485691504696833,0.16814284066599056,0.4086782683685781,0.2902995533659721,0.08073487105117516,preci,All,Day
12.25_105.25,1.0,0.4067986621965281,0.22696823526068988,0.24346400868845008,0.25077078883566695,0.1718651120409599,0.41184321397399465,0.3363348120675719,0.13312209585177015,preci,All,Day
12.25_105.75,1.0,0.41056479595962775,0.23195301965418286,0.2733737166625517,0.25328235081631795,0.18632771763807013,0.420347263207062,0.3556014845144388,0.17405063859689016,preci,All,Day
12.25_106.25,1.0,0.4379946037030073,0.20936747902862707,0.3403812127044779,0.2630060082020932,0.2198811078561958,0.43903381684076187,0.3850865004319964,0.2137410901034657,preci,All,Day
12.25_106.75,1.0,0.48383460063930295,0.24771349583718347,0.40318269800292394,0.29891940926763433,0.2402920586224654,0.4896126508691304,0.42150373444504624,0.279610293243693,preci,All,Day
12.25_107.25,1.0,0.5225753055609782,0.31265530682704534,0.4035591999444625,0.2964751948540479,0.19800162253374753,0.5437542850076409,0.4195298619556316,0.2989393462661561,preci,All,Day
12.25_107.75,1.0,0.49947243344794356,0.2149374533138775,0.33754677035171265,0.2529881982704406,0.15406386011496576,0.5306912385037883,0.31312467749306966,0.2059781076701628,preci,All,Day
12.25_108.25,0.9999999999999999,0.48470550262389034,0.19574264881399064,0.21998978929967622,0.2247802809506202,0.1326381300419877,0.44699113730837886,0.30464628832149426,0.08484377141533934,preci,All,Day
12.75_102.75,1.0,0.4215548087534833,0.23180610193133555,0.2869848010956464,0.2217105212899296,0.21210609543471037,0.4487980879836686,0.17328423511095092,0.15421051285153956,preci,All,Day
12.75_103.25,1.0,0.3850479210004684,0.19208803619980938,0.1954595450910613,0.15844947791043917,0.16884404378587325,0.3685185395650545,0.1805163987159729,0.10527608849767828,preci,All,Day
12.75_103.75,0.9999999999999998,0.3603429548919702,0.15643789824635912,0.18873218533405237,0.1804911940848961,0.17053094594208326,0.34450367849518143,0.26152736639414836,0.07798849085004764,preci,All,Day
12.75_104.25,0.9999999999999998,0.3725678623323364,0.1698565751838298,0.2410641462334223,0.24907971147408742,0.18884214701179627,0.4226088432420789,0.32835990369033724,0.09401067380928543,preci,All,Day
12.75_104.75,0.9999999999999999,0.3699071427435968,0.1804993397635573,0.24584332771669598,0.2215514986708969,0.16325626604111476,0.40483926783577306,0.30670720979962846,0.10952455754042752,preci,All,Day
12.75_105.25,1.0,0.39878173205558115,0.21054021117716046,0.2772401995528985,0.24518105185554645,0.1730219727122192,0.42215017356529255,0.3342775317171129,0.15440097835901825,preci,All,Day
12.75_105.75,1.0,0.4383667060091161,0.23891615818252682,0.3162108025089251,0.2892660123802388,0.19372083610861252,0.4537766152152331,0.35645335823645763,0.20176851356351702,preci,All,Day
12.75_106.25,1.0,0.4715916344722687,0.21720049421772267,0.37150364873522496,0.29282975702641384,0.209796006678917,0.4822422446213394,0.3887043634164125,0.24672468891232688,preci,All,Day
12.75_106.75,1.0,0.5200421116028396,0.250537706949138,0.4164572204720652,0.31753907615121546,0.2293059736954663,0.5394669272378724,0.43463337847019745,0.28384989639071195,preci,All,Day
12.75_107.25,1.0,0.5414511081920763,0.2581840034938783,0.37251984190088183,0.29888356730988713,0.2090304711809542,0.5645853093745694,0.31158943976056835,0.27483106174588373,preci,All,Day
12.75_107.75,1.0,0.5076025032822381,0.16821531491520061,0.2878194836100102,0.24875997392344398,0.163360780123856,0.5292760741146799,0.25004965032818566,0.19900288108492284,preci,All,Day
12.75_108.25,1.0,0.48371683973949214,0.13783221829880463,0.20954477951817838,0.22031791452585364,0.13002486873384742,0.48301896785435183,0.2983900147424889,0.09087865090031282,preci,All,Day
13.25_102.75,1.0,0.39999432438519944,0.2140409890581262,0.22767718870383952,0.208716402766926,0.21093386706614864,0.41690938417723916,0.20747418265381395,0.12590890589035725,preci,All,Day
13.25_103.25,1.0,0.3733606203446393,0.18410459451079098,0.1952949431614444,0.18484378173303484,0.18437914421687862,0.4124071707438716,0.2771311291109287,0.11576858949226192,preci,All,Day
13.25_103.75,1.0,0.36559540578585753,0.17243296101060177,0.2162933715362425,0.20420932893641444,0.18506624843566125,0.4337890089333417,0.30596862269012576,0.12210851143362529,preci,All,Day
13.25_104.25,0.9999999999999999,0.36858881918046255,0.16313945174132388,0.2512978742147545,0.2364894151815315,0.1852432743300168,0.4432006844633707,0.3333974990009445,0.14449516074735083,preci,All,Day
13.25_104.75,1.0,0.3877992235919764,0.17711623255632963,0.28532527908557426,0.24306044036606891,0.200859480590195,0.4416553596012589,0.3202510030828186,0.1499747773486526,preci,All,Day
13.25_105.25,1.0,0.4129507361582777,0.21845330034502786,0.32316930334883587,0.26336406714461424,0.21897168348260937,0.4627146994714057,0.3555679504270335,0.17109842736487116,preci,All,Day
13.25_105.75,1.0,0.45320246453893853,0.25741650495151236,0.3622309945238554,0.30316642553753287,0.2230381061363705,0.49902125611269116,0.36875010543910924,0.22302998875934288,preci,All,Day
13.25_106.25,1.0,0.5067857741687094,0.2731036981214615,0.41644548037642903,0.341364281836732,0.2232395151488858,0.5554466851123289,0.42432885619708055,0.2718976600479104,preci,All,Day
13.25_106.75,0.9999999999999999,0.5413868611305968,0.30325832284356985,0.4397429213820005,0.33672443104631183,0.22898354918345468,0.5896833077127702,0.4687556695338791,0.28491637910205836,preci,All,Day
13.25_107.25,0.9999999999999999,0.5367965139470754,0.26897124127648625,0.38175849912657656,0.2839101669227531,0.2097458102714695,0.5569452724390717,0.3791335168982438,0.2700524588880851,preci,All,Day
13.25_107.75,1.0,0.5074682417784298,0.21043049624184387,0.3098987937977969,0.23352851338610878,0.17856240209356372,0.5185631879208665,0.3473440786978241,0.20640898088026594,preci,All,Day
13.25_108.25,1.0,0.49103978471850396,0.18970539541231554,0.2454974448904365,0.21316170255881142,0.1574314710008652,0.48450876544627064,0.2981060559595194,0.1334763705960273,preci,All,Day
13.75_102.75,1.0,0.37588050362409375,0.20404525532057516,0.20383762056520002,0.21883498882245178,0.20087578589647082,0.4174399057627114,0.2761513450865073,0.1307347822189015,preci,All,Day
13.75_103.25,1.0,0.40549889383559934,0.2033367391107294,0.22412912222424858,0.22259358265262474,0.19751514713605162,0.4435108245316362,0.3071603191160529,0.15731265643907325,preci,All,Day
13.75_103.75,0.9999999999999998,0.39579828231827346,0.17920878397896464,0.23944213365830222,0.24272758304316022,0.18685498219617694,0.4491268550741548,0.33990864300433016,0.17875092507382379,preci,All,Day
13.75_104.25,0.9999999999999999,0.4050844838359903,0.16895288042414008,0.27972192229365284,0.2528188347091964,0.201577787278985,0.45720396329122975,0.35708385774500645,0.18932392864526934,preci,All,Day
13.75_104.75,1.0,0.4385391577297342,0.18233222090422643,0.32670042256643483,0.2642758200115899,0.2439584629352867,0.49357776350993926,0.3635744564085608,0.19282065894554404,preci,All,Day
13.75_105.25,1.0,0.45501778774517615,0.22738310315779858,0.3745690413772847,0.3025463473922768,0.26475964387846807,0.5167945400407089,0.4062221627346022,0.200450585445576,preci,All,Day
13.75_105.75,1.0,0.46497489570493306,0.26747474600788707,0.391690169113343,0.3199800215583921,0.2543009196775253,0.5305001984878288,0.4107929890463841,0.2476946817812126,preci,All,Day
13.75_106.25,1.0,0.5167417841619679,0.2602806952643117,0.42076270681059824,0.32664736749551254,0.23277551654942955,0.5718949640004151,0.4635837833368092,0.30683393509132517,preci,All,Day
13.75_106.75,0.9999999999999999,0.5512202809465778,0.2922696410693305,0.4398451501414179,0.32445148638730376,0.24105334099723727,0.6190397181341808,0.5042643107687658,0.35834238999657037,preci,All,Day
13.75_107.25,0.9999999999999998,0.5384742285559063,0.2818884972883703,0.3997514234906036,0.2728559357215804,0.19728315656807535,0.6003298340963478,0.4568526252858711,0.3280947049088094,preci,All,Day
13.75_107.75,0.9999999999999998,0.5008279293429236,0.2574705945741094,0.33541349994592395,0.1986606502912673,0.1668993800168748,0.5607490745216056,0.41349572238274546,0.228149410668814,preci,All,Day
14.25_102.25,0.9999999999999998,0.4204104095333851,0.2723404361926477,0.23983172925806484,0.2486981256423659,0.21469589414774157,0.4448553009934554,0.31905862412292624,0.13335806485999152,preci,All,Day
14.25_102.75,1.0,0.37836048190405985,0.2307873817025993,0.23407717273643616,0.24187087236875035,0.22237073027148074,0.4506620318922157,0.2901502628923661,0.1476548155195547,preci,All,Day
14.25_103.25,0.9999999999999998,0.3879763497918264,0.21606807426726368,0.25030049556174255,0.24391128607837712,0.21919238144927358,0.4679703647313914,0.3306870424314024,0.17394461166486333,preci,All,Day
14.25_103.75,1.0,0.39205687439206466,0.21824827005947242,0.2715135482793919,0.260636626348618,0.20831855738734337,0.48531651150144683,0.37152753859461823,0.19214457762462514,preci,All,Day
14.25_104.25,1.0,0.39543972744717076,0.22343321534096008,0.29651845800542637,0.26908995063218005,0.20676785443552986,0.4908542405126558,0.34628423316616325,0.1867853720178121,preci,All,Day
14.25_104.75,1.0,0.4265142599428115,0.21790834653000354,0.3243155309330067,0.2799027128091443,0.23057714561347714,0.4924381985408372,0.37283867016828837,0.19428859682996388,preci,All,Day
14.25_105.25,1.0,0.46393818297977923,0.2708747627685064,0.3811489872119223,0.3050923166199798,0.26228481530354736,0.5294746611486251,0.4116220688103489,0.23246828186308005,preci,All,Day
14.25_105.75,1.0,0.5085235238137986,0.20471732162370976,0.3935119551081869,0.2906614093162272,0.25989282033679234,0.5500651824499244,0.4412288620003622,0.2785551904168862,preci,All,Day
14.25_106.25,1.0,0.5736585892666919,0.2138173813446852,0.4302142159916074,0.30227422660919445,0.2494286344049813,0.6153887164733498,0.5230216653061415,0.37010365488516805,preci,All,Day
14.25_106.75,1.0,0.569017022981929,0.2587202421683992,0.4206685813044758,0.2769803164741752,0.22537409723541862,0.6377206914189782,0.49647922534222627,0.39944465440642135,preci,All,Day
14.25_107.25,1.0,0.5392552100974296,0.27275815657284147,0.37939651103137606,0.23385397673674288,0.20020137487435818,0.6248014176642331,0.45628724392130376,0.3409488066540943,preci,All,Day
14.25_107.75,1.0,0.47184896417133687,0.23836853782743708,0.2965160898522318,0.1842768375049019,0.15798001943009435,0.5490018143534802,0.37275214854140015,0.18963400858086601,preci,All,Day
14.25_108.25,1.0,0.4575135909609128,0.2292552220897072,0.191921199878335,0.21552954201006738,0.15519422911840502,0.4682438210197966,0.25890646858151,0.07288776936287497,preci,All,Day
14.75_101.75,0.9999999999999998,0.43304097812274545,0.24355994836490533,0.22426697365739057,0.19717041389646164,0.15883946421827835,0.41679526645185994,0.340214400749959,0.12416247719366633,preci,All,Day
14.75_102.25,1.0,0.391698903522849,0.19698231145969106,0.21886352804496303,0.20940563412643218,0.17991786333606852,0.42819723915186736,0.31906596334079473,0.1330734011824146,preci,All,Day
14.75_102.75,1.0,0.35592146069260877,0.1948142040823831,0.22626058936936885,0.23317265791608002,0.21271093685738515,0.429000025851423,0.3112002582429494,0.12652757315880003,preci,All,Day
14.75_103.25,1.0,0.38065093848167275,0.21151337299684567,0.2416960380073643,0.2572028851746896,0.1988723224933126,0.4700995753370858,0.3133882334295405,0.15009701568029374,preci,All,Day
14.75_103.75,0.9999999999999999,0.3652211140127952,0.21622791536109776,0.24810597726453126,0.24088665028563225,0.1987778830516357,0.4638345864131205,0.3216396144246568,0.16052714448697666,preci,All,Day
14.75_104.25,1.0,0.3556414065334303,0.2141531656610011,0.2517589886360162,0.24355253843822094,0.17441270822576113,0.43692013177058564,0.3049852105197734,0.14102924791599675,preci,All,Day
14.75_104.75,0.9999999999999999,0.40141470791106465,0.2365521709342527,0.29401643672897754,0.2583891380925452,0.19406702537021747,0.4714334942337713,0.3522108076350011,0.18260674541139976,preci,All,Day
14.75_105.25,1.0,0.4464248329762848,0.2594985253778302,0.35289865733194303,0.2624118247088832,0.23604759152902724,0.5225753864623767,0.3980085788207196,0.25112473114409256,preci,All,Day
14.75_105.75,1.0,0.5186956685484713,0.19071556822895033,0.40746296179911956,0.26557099666227946,0.2769459975744435,0.5764151774848176,0.4584553827398125,0.3294791019584193,preci,All,Day
14.75_106.25,1.0,0.5643902975265075,0.26253875396739673,0.40625546391603,0.2608791207526446,0.27384555891838186,0.6355835401327385,0.4772199473894876,0.3824071065027221,preci,All,Day
14.75_106.75,0.9999999999999998,0.5441182504734283,0.2853060619757794,0.37031949723091306,0.2305251740288267,0.2101668592164964,0.6030272525757434,0.45302646927847007,0.35149414638408755,preci,All,Day
14.75_107.25,1.0,0.5254432200609455,0.2698702264165271,0.3250121993674378,0.21866246010156365,0.19393999918571864,0.5932630000517117,0.42115413012342406,0.27722554693501233,preci,All,Day
14.75_107.75,0.9999999999999998,0.46858474577487275,0.22244909054635448,0.20009751820925012,0.19445135296453617,0.15746561571720755,0.5319501868496054,0.30355963170884603,0.09915259534700623,preci,All,Day
