Coord,APHRO,ERA-I,HIRHAM (EAS),HadRM3P (EAS),RegCM4-1 (WAS),RegCM4-4 (WAS),HadRM3P (WAS),RCA4 (WAS),CCLM (EAS),Var,Season,TScale
10.25_104.75,0.0,5.565406531287909,8.117648247552893,7.498721069119083,29.58230423381978,15.149658592312578,6.795673423044709,7.410643849271588,272.03890559169105,preci,All,Day
10.25_105.25,0.0,5.80993838517232,8.11559054659846,6.982613629168102,29.992818578646887,11.12933585919494,6.453173496163677,8.29513799973977,253.82814933982883,preci,All,Day
10.25_105.75,0.0,6.037243540712466,7.934690844982706,6.8094525798648515,23.85658271645889,10.419944629958078,6.251663265785017,8.16070719758362,235.04910672442645,preci,All,Day
10.25_106.25,0.0,5.649740813169446,7.715792851217838,6.550345960400224,20.1935569016327,9.968209153074554,5.928828165348565,7.18609133763414,251.29276090840654,preci,All,Day
10.25_106.75,0.0,5.6871772496604995,8.584828730287748,6.987201157076731,22.522503581174917,10.00126702221309,5.858119688364163,6.569930217949947,301.0624263782981,preci,All,Day
10.75_104.75,8.429369702178807e-08,5.382520603816168,6.343692076616247,6.328702395154378,30.547429752370018,13.041900161530911,5.9363550334104085,7.257434830877314,229.83133395841946,preci,All,Day
10.75_105.25,0.0,5.663487565626031,7.25142386826255,6.72939382656039,23.78453309552064,11.255590448342993,6.248714862331095,8.082001712215177,223.94354660630174,preci,All,Day
10.75_105.75,0.0,5.849910610954957,7.898218038353088,6.827848358769659,20.90072369213562,11.333134049106798,6.501604533029266,8.607787887437437,221.42098088510215,preci,All,Day
11.25_104.25,0.0,5.594896774865478,6.493773815746212,6.777463453475935,25.977687587368482,11.779901253208592,5.789725140989177,7.6092232367594,242.27148666539765,preci,All,Day
11.25_104.75,8.429369702178807e-08,5.322057833840249,6.050192310924422,6.475508502350501,20.572186733381365,11.333594878926496,5.5037206664478475,7.1400821473915235,202.008675429004,preci,All,Day
11.25_105.25,0.0,5.024323486803513,6.812228411514392,7.096818917159723,17.141452421722168,11.301408458569252,5.2790633893128796,7.8137088953357505,206.28193236623653,preci,All,Day
11.75_104.25,8.429369702178807e-08,5.246057490237627,6.177463270825588,5.741125315946458,19.66921283695259,12.647253732464467,4.72432794855886,8.086841945658197,197.36848921320055,preci,All,Day
11.75_104.75,8.429369702178807e-08,5.208257234780475,6.182466800923139,6.407902914951655,15.090664178551283,12.669366988955598,5.115577067888189,6.995539047545174,167.83588231281544,preci,All,Day
11.75_105.25,0.0,5.123318727400596,7.203588445191442,7.635128360478262,15.130765398144813,12.334682854177965,5.266097298992817,8.11041284268845,170.69743040529164,preci,All,Day
12.25_103.25,0.0,6.546862726646121,10.710993391871245,8.81997012191002,37.964627925583805,13.014951860119039,8.067550381322222,12.495039672370371,306.5054166811233,preci,All,Day
12.25_103.75,0.0,5.90071022297144,7.675600024366802,6.6881263480166355,25.52948961452592,12.189296780128494,5.899691538327761,9.106838499571722,253.43798576794478,preci,All,Day
12.25_104.25,0.0,5.49271015679697,6.773032744870488,6.487498486734926,15.749926592904465,11.649854926119927,5.487824303236135,9.124008247000896,215.5214247447419,preci,All,Day
12.25_104.75,0.0,5.686848707912056,6.986841188988,6.956808082270348,13.430053745751065,12.046586916280349,5.534937043121381,7.71645927014644,203.21672082907412,preci,All,Day
12.25_105.25,0.0,5.759919923350189,8.176823480223508,7.793255931134328,14.465838680947124,12.587225189698971,5.758865931945886,8.322828401864324,215.21700180621568,preci,All,Day
12.25_105.75,0.0,6.054225405267457,8.04962771596678,7.8301914009522156,16.11223479013191,13.616914222512275,6.060448306755197,8.587783026330795,261.82939170493756,preci,All,Day
12.25_106.25,0.0,6.136413155553807,7.998392487352364,7.281080919723718,15.579880045143346,13.806311379861532,6.440728336104112,8.285136174714314,308.35648548656377,preci,All,Day
12.25_106.75,0.0,6.163623093189984,8.571215080531715,6.990253801694603,15.479838856003537,13.681454845823152,5.870782394664343,7.486790688749572,387.98678794374365,preci,All,Day
12.25_107.25,0.0,6.944693622510349,14.136130160892046,11.03798024419873,16.060624189156684,15.600104742979292,7.765209091231704,12.093525858492473,474.48055774288594,preci,All,Day
12.25_107.75,0.0,7.469630928989189,14.33053449884016,8.19069643325696,14.895310924364301,15.027387487578233,6.735411183627572,9.094381411113082,370.2386460762948,preci,All,Day
12.25_108.25,0.0,7.104529429428324,17.73917552743851,7.857089613968097,15.918690377417507,14.114525665111799,6.492596792306178,10.428102746613138,324.98533119170344,preci,All,Day
12.75_102.75,0.0,5.864885586499781,7.2066435745786945,7.522549999370552,36.440823109880334,11.114714791268073,6.6256731323264075,8.387862054420614,265.8219152177927,preci,All,Day
12.75_103.25,0.0,5.690332128961342,6.207856064595449,6.566646781931929,24.358970784648427,10.68587387445367,5.198893808911065,6.390555019429896,233.1154485567304,preci,All,Day
12.75_103.75,8.429369702178807e-08,5.788125969972496,5.912899672280782,6.337248837071104,15.826175529820295,10.472022467236116,5.4350970204944415,5.923003580747157,212.67876724093412,preci,All,Day
12.75_104.25,8.429369702178807e-08,5.637841839503293,6.201381287042607,6.302748685069185,12.753742668373254,11.474206969942115,5.112872698455558,6.105203731973047,202.76561234794642,preci,All,Day
12.75_104.75,1.1920928955078125e-07,6.390447757473994,7.405934034497342,7.477649365643333,13.207940857371106,11.247235280659305,6.044281756173498,7.401109002243348,225.91044606696585,preci,All,Day
12.75_105.25,0.0,6.3209335396430975,8.184294994116728,7.347928553877815,15.56181173483001,12.407802154944136,6.248078429572996,8.51485635147489,247.83512387047432,preci,All,Day
12.75_105.75,0.0,6.025900229131383,8.133498780480869,7.305272940582179,15.832677249740508,12.733681355666343,5.97711724261972,8.059699585824486,270.50651442933804,preci,All,Day
12.75_106.25,0.0,5.84439182296356,7.499135603443108,6.943436595480114,13.250504354918528,13.231432573147089,5.931805244966774,7.502518685751553,290.2642024241168,preci,All,Day
12.75_106.75,0.0,5.654702859240279,8.087689445068207,7.155125248465664,13.412996427138781,13.380298077673165,6.216863005119007,7.452249346601727,315.11303555960484,preci,All,Day
12.75_107.25,0.0,6.227616769705991,9.162437281665511,7.675199852192539,14.060564354334165,13.39240843179864,6.869664832861822,9.496467379561647,331.49663074646895,preci,All,Day
12.75_107.75,0.0,6.860234821716516,9.848474395497178,7.686117553354745,13.199722612630001,12.964785402635288,6.479480217496401,8.241601206711657,280.55896532440244,preci,All,Day
12.75_108.25,0.0,7.014951646406241,10.929132518216614,7.573654955434097,13.01927971893543,13.495222704199378,6.70029410857123,9.29965093534089,255.1120884442585,preci,All,Day
13.25_102.75,0.0,5.56963695518953,6.166066629876842,6.477411294270669,21.621374938992208,10.380930298299933,4.685273031998611,6.083288815297057,219.3956244563176,preci,All,Day
13.25_103.25,0.0,5.562903337717334,6.17811031267742,6.733720768849398,13.91237405201463,9.682303641167517,5.109604476970692,6.5874181018915685,203.4201313034837,preci,All,Day
13.25_103.75,0.0,5.828258368543245,7.147131412519352,7.447962733770723,12.187336774184464,10.437427742624955,5.4602850923493085,7.181807938278527,197.1551782614593,preci,All,Day
13.25_104.25,1.1920928955078125e-07,6.0038231579353045,7.665410626099047,7.523778063409967,12.216312212084386,10.201723683064335,5.782137048445546,7.863920910691008,216.80672744035195,preci,All,Day
13.25_104.75,0.0,6.319184705308206,8.016535848067123,7.498625853941389,13.507578020841912,10.379697574002368,6.149269485178767,7.6796076056211495,252.97756412867687,preci,All,Day
13.25_105.25,0.0,6.369354542643737,8.206375305816406,7.07316947809235,14.666912558949743,11.086382945888317,6.111160251600959,8.396730762435869,268.2621270845225,preci,All,Day
13.25_105.75,0.0,6.2577678486306265,8.627438995040848,7.24628194387242,14.769837659399808,11.784182305664016,5.948531002544736,8.355583585761266,240.88009360538146,preci,All,Day
13.25_106.25,0.0,5.83874096900071,7.680444559662277,7.238351166590965,12.86262613238474,12.45990223107193,6.151317484583991,7.974910729511106,244.7583694567063,preci,All,Day
13.25_106.75,1.1920928955078125e-07,5.799446717349078,7.964023070450304,7.045160978348891,11.937357500324811,12.508641175448773,6.181862548704285,7.4286453273805515,278.49893055508915,preci,All,Day
13.25_107.25,1.1920928955078125e-07,6.385813054959627,7.830148911728323,7.230081276244473,12.043415799755719,11.84868292919522,6.301928536994868,7.140258101441364,285.29236958803693,preci,All,Day
13.25_107.75,0.0,6.872970409075904,9.061186085959191,7.716567600699603,12.642350062525574,11.04258850904348,6.570837263381951,7.5462151664395725,238.98612622820144,preci,All,Day
13.25_108.25,0.0,6.7531772750712795,10.13601280684786,7.940762753785273,13.514648545819986,10.749930246634621,6.99267092095359,9.213931008115921,203.33870128206965,preci,All,Day
